,urlDrugName,rating,effectiveness,condition,sideEffects
77,tirosint,5,Marginally Effective,tsh level was low no clinical symtoms,No Side Effects
78,cymbalta,2,Considerably Effective,anxiety/ pain,Severe Side Effects
79,ambien-cr,8,Considerably Effective,insomnia,Mild Side Effects
80,angeliq,7,Considerably Effective,"menopause for 2 years, first hormone pill taken",No Side Effects
81,imitrex,10,Highly Effective,migraine headaches,No Side Effects
82,prempro,10,Highly Effective,migraines,No Side Effects
83,lexapro,5,Moderately Effective,depression and generalized anxiety,Moderate Side Effects
84,latisse,10,Considerably Effective,sparse eyelashes,Mild Side Effects
85,wellbutrin-xl,8,Considerably Effective,depression,Mild Side Effects
86,biaxin,8,Considerably Effective,pneumonia,Mild Side Effects
87,zantac,10,Highly Effective,acid reflux,No Side Effects
88,spironolactone,6,Moderately Effective,facial hair,Mild Side Effects
89,lipitor,3,Marginally Effective,high colorestoral,No Side Effects
90,omnicef,3,Highly Effective,sore throat,Extremely Severe Side Effects
91,tazorac,6,Moderately Effective,antiaging,Moderate Side Effects
92,alendronate,10,Highly Effective,osteopenia,Mild Side Effects
93,vyvanse,7,Highly Effective,fun,Moderate Side Effects
94,claripel-cream,8,Considerably Effective,discoloration,Moderate Side Effects
95,valtrex,9,Considerably Effective,cold sore/fever blister (herpes-simplex),No Side Effects
96,femring,10,Highly Effective,menopause,No Side Effects
97,neurontin,1,Ineffective,severe neck pain lasting 8-9 mons,Moderate Side Effects
98,soma,5,Highly Effective,back injury,Moderate Side Effects
99,lipitor,5,Moderately Effective,high cholesterol,Moderate Side Effects
100,tylenol,3,Moderately Effective,pain,Mild Side Effects
101,ultram,2,Moderately Effective,ovarian cysts/sciatic nerve,Mild Side Effects
102,chantix,5,Considerably Effective,stop smoking aid,Moderate Side Effects
103,ziana,9,Considerably Effective,acne,Mild Side Effects
104,vivelle-dot,5,Considerably Effective,surgical menopause,Severe Side Effects
105,effexor-xr,7,Considerably Effective,anxiety/ ocpd /depression,Mild Side Effects
106,ultram-er,1,Ineffective,pain relief  from an infected cat bite wound,No Side Effects
107,lotrel,7,Considerably Effective,high blood pressure,Severe Side Effects
108,viagra,4,Ineffective,erectile disfunction,Moderate Side Effects
109,seasonale,9,Highly Effective,birth control,Mild Side Effects
110,wellbutrin-sr,5,Moderately Effective,depression,Moderate Side Effects
111,lipitor,1,Ineffective,cholesterol slightly elevated,Severe Side Effects
112,allegra,8,Considerably Effective,"hay fever, allergies",No Side Effects
113,ambien-cr,7,Highly Effective,insomnia,Moderate Side Effects
114,accutane,8,Highly Effective,acne,Severe Side Effects
115,nasonex,10,Highly Effective,congestion,No Side Effects
116,fortaz,8,Highly Effective,uti,Moderate Side Effects
117,singulair,1,Ineffective,asthma,Severe Side Effects
118,xyrem,9,Highly Effective,insomnia,Moderate Side Effects
119,provigil,7,Moderately Effective,fatigue not being able to get up in am,Mild Side Effects
120,xanax,10,Highly Effective,tia's - anxiety,No Side Effects
121,lexapro,9,Highly Effective,major depression/anxiety,Mild Side Effects
122,vicodin,7,Considerably Effective,periodontal surgery,Mild Side Effects
123,zoloft,6,Moderately Effective,depression,No Side Effects
124,differin,9,Highly Effective,acne,Mild Side Effects
125,zyban,9,Highly Effective,smoking,Severe Side Effects
126,anafranil,4,Highly Effective,ocd,Moderate Side Effects
127,nuvaring,10,Highly Effective,birth control,Mild Side Effects
128,motrin,8,Considerably Effective,menstrual cramping,Mild Side Effects
129,effexor,8,Considerably Effective,generalized anxiety disorder,Moderate Side Effects
130,serzone,8,Highly Effective,generalized anxiety disorder,No Side Effects
131,naprosyn,8,Considerably Effective,ankylosing spondylitis,No Side Effects
132,flomax,8,Considerably Effective,"kidney pain, difficult urination",Moderate Side Effects
133,percocet,7,Considerably Effective,shoulder pain,Moderate Side Effects
134,propecia,8,Moderately Effective,hair loss,No Side Effects
135,protonix,9,Highly Effective,acid reflux,No Side Effects
136,mirapex,10,Highly Effective,restless leg syndrome,Mild Side Effects
137,dexamethasone,3,Marginally Effective,bronchial infection,No Side Effects
138,renova,7,Moderately Effective,acne,Moderate Side Effects
139,toradol,1,Ineffective,for  back pain,Extremely Severe Side Effects
140,caduet,3,Considerably Effective,cholesterol/high blood pressure,Severe Side Effects
141,diazepam,10,Highly Effective,stress,No Side Effects
142,celebrex,8,Considerably Effective,arthritis,No Side Effects
143,accutane,10,Highly Effective,severe acne,Mild Side Effects
144,zoloft,9,Highly Effective,depression,Mild Side Effects
145,prevacid,7,Considerably Effective,acid reflux,Severe Side Effects
146,actiq,1,Highly Effective,chronic pain,Severe Side Effects
147,doxycycline,4,Moderately Effective,epididymitus,Severe Side Effects
148,meridia,10,Highly Effective,weight loss,Mild Side Effects
149,mobic,1,Ineffective,back pain,No Side Effects
150,provigil,10,Highly Effective,excessive fatigue,No Side Effects
151,ortho-tri-cyclen,10,Highly Effective,birth control method,Mild Side Effects
152,tegretol,5,Highly Effective,epilepsy,Moderate Side Effects
153,zestoretic,10,Highly Effective,high blood pressure,No Side Effects
154,malarone,9,Highly Effective,malaria prevention,Moderate Side Effects
155,synthroid,10,Highly Effective,low under active thyroid,No Side Effects
156,zofran,9,Highly Effective,nausea/vomiting,Mild Side Effects
157,elavil,8,Highly Effective,fibromyalgia,Moderate Side Effects
158,tazorac,8,Highly Effective,"hyperpigmentation, photoaging, mild hormonal acne",Moderate Side Effects
159,topamax,10,Marginally Effective,tourette syndrome,Severe Side Effects
160,lunesta,1,Ineffective,insomina,Severe Side Effects
161,oracea,4,Considerably Effective,rosacea,Severe Side Effects
162,spiriva,9,Highly Effective,asthma,No Side Effects
163,prozac,3,Marginally Effective,depression,Severe Side Effects
164,enbrel,9,Highly Effective,ankylosing spondylitis,Mild Side Effects
165,atarax,1,Ineffective,anxiety,Mild Side Effects
166,pilocarpine,3,Considerably Effective,high intraocular pressure (glaucoma),Severe Side Effects
167,allegra,10,Highly Effective,severe allergies,No Side Effects
168,retin-a,6,Considerably Effective,acne,Moderate Side Effects
169,phenergan,9,Highly Effective,nausea,Moderate Side Effects
170,enalapril,6,Moderately Effective,high blood pressure,No Side Effects
171,lamictal,10,Highly Effective,bipolar disorder,No Side Effects
172,glucophage,7,Moderately Effective,diabetes,Moderate Side Effects
173,evista,9,Considerably Effective,slight loss of calcium in hip area,Mild Side Effects
174,paxil,6,Considerably Effective,depression,Severe Side Effects
175,lopressor,8,Highly Effective,high blood pressure,Mild Side Effects
176,claritin,9,Considerably Effective,eczema,No Side Effects
177,vivelle-dot,10,Highly Effective,menopausal symptoms,No Side Effects
178,levoxyl,8,Highly Effective,hypothyroidism,Mild Side Effects
179,renova,10,Highly Effective,cystic acne on chin and jaw,Mild Side Effects
180,flexeril,5,Moderately Effective,muscle spasms,Moderate Side Effects
181,cymbalta,8,Considerably Effective,chronic tension headaches/ mild depression,Mild Side Effects
182,allegra,6,Considerably Effective,allergies,Mild Side Effects
183,effexor-xr,5,Moderately Effective,depression,Mild Side Effects
184,zyban,4,Moderately Effective,stop smoking,Severe Side Effects
185,seroquel-xr,9,Considerably Effective,bipolar 2,Mild Side Effects
186,topamax,3,Considerably Effective,migraines,Moderate Side Effects
187,tazorac,9,Highly Effective,acne/anti-agin,Moderate Side Effects
188,biaxin,10,Highly Effective,severe sinus infection,Mild Side Effects
189,abilify,2,Considerably Effective,depression not resolved with antidepressant drugs,Extremely Severe Side Effects
190,nasonex,8,Considerably Effective,sinusitis,No Side Effects
191,augmentin,7,Moderately Effective,sinus infection,No Side Effects
192,crestor,1,Ineffective,high cholesterol,Severe Side Effects
193,finacea,8,Considerably Effective,acne,No Side Effects
194,lamictal,10,Highly Effective,seizure disorder,No Side Effects
195,doxycycline,10,Highly Effective,pneumonia,Mild Side Effects
196,flexeril,8,Considerably Effective,inflamed neck muscles,Mild Side Effects
197,alprazolam,10,Highly Effective,"panic disorder, agoraphobia",Mild Side Effects
198,lexapro,1,Moderately Effective,depression,Severe Side Effects
199,celexa,3,Considerably Effective,depression and anxiety,Moderate Side Effects
200,saizen,8,Considerably Effective,"adrenal burnout, chronic fatigue & premature agin",No Side Effects
201,clonazepam,9,Considerably Effective,hyperactive nerves and chronic small seizures,No Side Effects
202,propecia,10,Considerably Effective,hair loss,Mild Side Effects
203,vivelle,6,Moderately Effective,total hist,Severe Side Effects
204,zoloft,8,Considerably Effective,depression,Mild Side Effects
205,lexapro,7,Considerably Effective,depression/anxiety,Moderate Side Effects
206,retin-a,8,Considerably Effective,"melasma, unevean skin tone, ocasionally pimples",Moderate Side Effects
207,lexapro,7,Moderately Effective,depression,Mild Side Effects
208,keflex,4,Considerably Effective,pre-surgery,Moderate Side Effects
209,biaxin,8,Highly Effective,major sinus infection,Moderate Side Effects
210,tequin,1,Ineffective,uti,No Side Effects
211,zomig,10,Highly Effective,migraine,Mild Side Effects
212,paxil,1,Moderately Effective,depression,Severe Side Effects
213,vagifem,8,Considerably Effective,postmenopausal vaginal atrophy,Mild Side Effects
214,citalopram,8,Highly Effective,depression,Moderate Side Effects
215,benzaclin,8,Highly Effective,acne,Mild Side Effects
216,ortho-tri-cyclen,5,Considerably Effective,regulate periods,Severe Side Effects
217,levoxyl,8,Considerably Effective,hypothyroidism,Mild Side Effects
218,citalopram,10,Highly Effective,depression,Mild Side Effects
219,renova,2,Marginally Effective,aging,Severe Side Effects
220,prilosec,6,Highly Effective,heartburn,Moderate Side Effects
221,levitra,8,Moderately Effective,erectile dysfunction,No Side Effects
222,neurontin,4,Moderately Effective,perepheral neuropathy,Moderate Side Effects
223,lyrica,1,Ineffective,fibromyalgia,Extremely Severe Side Effects
224,elavil,8,Highly Effective,insomnia - early awakening,Moderate Side Effects
225,aloprim,8,Highly Effective,gout,Moderate Side Effects
226,citalopram,1,Ineffective,depression,Moderate Side Effects
227,metrogel,4,Moderately Effective,rosacea,Moderate Side Effects
228,wellbutrin-xl,7,Moderately Effective,depression,Mild Side Effects
229,zyprexa,3,Considerably Effective,agitation management r/t lewy body syndrome  demen,Severe Side Effects
230,methotrexate,7,Considerably Effective,rhematory arthritis,Moderate Side Effects
231,chantix,9,Highly Effective,smoking cessation,Mild Side Effects
232,prempro,10,Highly Effective,menopause,Mild Side Effects
233,provigil,4,Moderately Effective,anxiety and to avoid feeling misrable,Moderate Side Effects
234,wellbutrin-xl,9,Considerably Effective,depression,Mild Side Effects
235,mobic,6,Ineffective,arthritis/knee pain,Mild Side Effects
236,lamisil,10,Highly Effective,fungal growth on feet,No Side Effects
237,abilify,6,Considerably Effective,depression,No Side Effects
238,ultracet,5,Considerably Effective,herniated disk in my lower back,Moderate Side Effects
239,valtrex,7,Moderately Effective,cold sores,Mild Side Effects
240,wellbutrin-sr,10,Highly Effective,depression,No Side Effects
241,retin-a,3,Ineffective,acne,Severe Side Effects
242,neurontin,6,Moderately Effective,nerve damage,Moderate Side Effects
243,lorazepam,9,Highly Effective,panic attacks,Moderate Side Effects
244,vivelle-dot,9,Highly Effective,hysterectomy,No Side Effects
245,lexapro,4,Moderately Effective,"depression, lack of motivation",Moderate Side Effects
246,wellbutrin,9,Considerably Effective,anxiety/ mild depression,Mild Side Effects
247,relafen,5,Marginally Effective,sciatica,Moderate Side Effects
248,valium,6,Considerably Effective,anxiety,Mild Side Effects
249,yasmin,10,Highly Effective,birth control,No Side Effects
250,klonopin,1,Ineffective,"tia type seizures, stress",Moderate Side Effects
251,tri-luma,2,Marginally Effective,dark skin spots on face,Mild Side Effects
252,provigil,7,Considerably Effective,fatigue,No Side Effects
253,mirapex,10,Highly Effective,restless legs syndrome,No Side Effects
254,vyvanse,10,Highly Effective,add,Mild Side Effects
255,provera,9,Considerably Effective,irregular menses,Mild Side Effects
256,adipex-p,9,Considerably Effective,weightloss,Mild Side Effects
257,provigil,1,Ineffective,shift work insomnia,Extremely Severe Side Effects
258,zoloft,9,Considerably Effective,depression,No Side Effects
259,seroquel,8,Considerably Effective,bipolar,Mild Side Effects
260,aldara,6,Moderately Effective,scar revision surgery,Moderate Side Effects
261,xenical,6,Marginally Effective,weight loss,Mild Side Effects
262,baclofen,8,Considerably Effective,insomnia,Mild Side Effects
263,spironolactone,5,Moderately Effective,acne,Extremely Severe Side Effects
264,wellbutrin,7,Highly Effective,depression,Moderate Side Effects
265,crestor,2,Considerably Effective,high cholesterol and triglycerides (21.1!),Severe Side Effects
266,clindamycin-topical,9,Considerably Effective,acne,No Side Effects
267,chantix,10,Highly Effective,smoking cessation,Mild Side Effects
268,depo-provera,1,Highly Effective,contraception,Extremely Severe Side Effects
269,flexeril,7,Considerably Effective,muscle spasms,Severe Side Effects
270,chantix,2,Considerably Effective,smoking,Extremely Severe Side Effects
271,metronidazole,10,Highly Effective,tooth abscess,Extremely Severe Side Effects
272,dispermox,3,Considerably Effective,tonsillitis/strep throat,Moderate Side Effects
273,ambien,7,Highly Effective,restless sleep,No Side Effects
274,zoloft,4,Moderately Effective,anxiety disorder,Moderate Side Effects
275,depo-provera,9,Highly Effective,hormonal imbalances and pregnancy prevention,Mild Side Effects
276,doxycycline,6,Moderately Effective,deep gum pockets,Mild Side Effects
277,solodyn,1,Ineffective,acne,Severe Side Effects
278,suboxone,10,Highly Effective,opioid addiction,Mild Side Effects
279,effexor-xr,2,Ineffective,clinical depression,Severe Side Effects
280,zmax,10,Highly Effective,"lingering infection - ear, sinus, throat",No Side Effects
281,renova,10,Highly Effective,acne,No Side Effects
282,metformin,9,Considerably Effective,metabolic syndrome x,Mild Side Effects
283,prinivil,4,Marginally Effective,diabetes,Moderate Side Effects
284,neurontin,1,Ineffective,neuropathy back pain,Severe Side Effects
285,valium,9,Considerably Effective,anxiety,No Side Effects
286,vyvanse,7,Highly Effective,add,Moderate Side Effects
287,paxil-cr,9,Highly Effective,obsessive compulsive disorder,Mild Side Effects
288,ativan,2,Moderately Effective,sleep problem,Severe Side Effects
289,effexor-xr,9,Considerably Effective,depression,Mild Side Effects
290,prempro,9,Considerably Effective,hot flashes,No Side Effects
291,darvocet-n,8,Considerably Effective,pain after surgery,Moderate Side Effects
292,ranitidine,5,Marginally Effective,rash,No Side Effects
293,prevacid,8,Considerably Effective,pre-barrett (errosion of the esophagus),Mild Side Effects
294,amoxil,10,Moderately Effective,infection from grazing an ankle on coral,Mild Side Effects
295,septra,8,Considerably Effective,mrsa skin infection,Mild Side Effects
296,tamiflu,10,Highly Effective,swine flu,Mild Side Effects
297,risperdal,1,Ineffective,psychosis,Severe Side Effects
298,soltamox,5,Highly Effective,breast cancer,Moderate Side Effects
299,celebrex,10,Highly Effective,arthritis pain,Mild Side Effects
300,lyrica,8,Highly Effective,fibromylgia,Severe Side Effects
301,seroquel,8,Considerably Effective,insomnia,Mild Side Effects
302,zyprexa,3,Marginally Effective,schizophrenia,Moderate Side Effects
303,yasmin,7,Highly Effective,contraception,Moderate Side Effects
304,lexapro,8,Considerably Effective,depression/anxiety,Mild Side Effects
305,celebrex,1,Considerably Effective,arthritis,Extremely Severe Side Effects
306,levaquin,1,Highly Effective,acute sinusitis/bronchitis,Extremely Severe Side Effects
307,xyzal,4,Marginally Effective,allergies,Severe Side Effects
308,cleocin,8,Considerably Effective,acne,Moderate Side Effects
309,claripel-cream,8,Considerably Effective,pigmentation,Mild Side Effects
310,effexor,7,Moderately Effective,depression,Moderate Side Effects
311,lyrica,8,Considerably Effective,fibromyalgia,Mild Side Effects
312,cymbalta,9,Highly Effective,sever depression,No Side Effects
313,imitrex,10,Highly Effective,migraine,Mild Side Effects
314,voltaren,10,Highly Effective,osteo arthritis,No Side Effects
315,tetracycline,10,Highly Effective,razor bumps,No Side Effects
316,valtrex,10,Highly Effective,genital herpes,No Side Effects
317,zovirax,8,Considerably Effective,fever blisters,No Side Effects
318,cipro,10,Highly Effective,urinary tract infection,No Side Effects
319,protonix,10,Highly Effective,acid reflux,No Side Effects
320,retin-a,9,Considerably Effective,acne,Mild Side Effects
321,relpax,10,Highly Effective,migraine headaches,No Side Effects
322,follistim,10,Highly Effective,infertility,Mild Side Effects
323,effexor,7,Considerably Effective,depression,Moderate Side Effects
324,lortab,9,Highly Effective,pain,Mild Side Effects
325,climara,8,Highly Effective,hot flash sleep problems,No Side Effects
326,requip,10,Highly Effective,restless leg syndrome,Mild Side Effects
327,accutane,4,Considerably Effective,acne,No Side Effects
328,percocet,5,Highly Effective,chronic back pain,Severe Side Effects
329,celexa,8,Highly Effective,"depression, irritability",Moderate Side Effects
330,restasis,10,Highly Effective,dry eyes,No Side Effects
331,levoxyl,9,Highly Effective,low thyroid,No Side Effects
332,seasonique,6,Highly Effective,birth control,Severe Side Effects
333,oxycodone,5,Considerably Effective,post surgery,Moderate Side Effects
334,remeron,2,Ineffective,depression,Severe Side Effects
335,differin,9,Considerably Effective,acne,Mild Side Effects
336,effexor,2,Ineffective,severe depression,Severe Side Effects
337,macrobid,1,Considerably Effective,uti,Extremely Severe Side Effects
338,buprenorphine,10,Highly Effective,major depression,No Side Effects
339,fiorinal,5,Moderately Effective,tension headaches,No Side Effects
340,doxycycline,4,Marginally Effective,acne,Mild Side Effects
341,propecia,9,Considerably Effective,hair loss,Mild Side Effects
342,trazodone,10,Considerably Effective,depression/difficulty sleeping,Mild Side Effects
343,zomig,9,Highly Effective,persistant migraines,Mild Side Effects
344,climara,4,Marginally Effective,"menopause, memory loss, night sweats, low libido",Severe Side Effects
345,ortho-tri-cyclen,9,Highly Effective,pregnancy prevention,Mild Side Effects
346,synthroid,8,Moderately Effective,hypothyroidism,No Side Effects
347,elavil,7,Considerably Effective,depression/insomnia,Moderate Side Effects
348,xalatan,8,Considerably Effective,glaucoma,Mild Side Effects
349,motrin,7,Considerably Effective,prostatitis (chronically),Mild Side Effects
350,citalopram,4,Moderately Effective,depression,Moderate Side Effects
351,prozac,7,Considerably Effective,depression,Moderate Side Effects
352,renova,7,Moderately Effective,acne,Severe Side Effects
353,lexapro,8,Considerably Effective,depression,Moderate Side Effects
354,biaxin,10,Highly Effective,asthmatic bronchitis,Mild Side Effects
355,cytomel,10,Highly Effective,hypothyroid,No Side Effects
356,accutane,10,Highly Effective,acne,Mild Side Effects
357,percocet,6,Considerably Effective,back pain,Mild Side Effects
358,oxazepam,10,Highly Effective,anxiety due to relationship stress,Mild Side Effects
359,prinivil,1,Moderately Effective,hypertension,Extremely Severe Side Effects
360,atenolol,10,Highly Effective,hypertension,Mild Side Effects
361,premarin,9,Highly Effective,aging,No Side Effects
362,norpramin,6,Moderately Effective,migraine,Mild Side Effects
363,cymbalta,7,Considerably Effective,depression/anxiety,Mild Side Effects
364,protonix,7,Considerably Effective,gi irritation,Mild Side Effects
365,topicort,6,Considerably Effective,itchy and irritated skin,No Side Effects
366,effexor-xr,10,Highly Effective,dysthymia,Mild Side Effects
367,lumigan,9,Considerably Effective,hair growth,Mild Side Effects
368,ambien,7,Moderately Effective,insomnia,Mild Side Effects
369,allegra,8,Considerably Effective,sinusitis,Mild Side Effects
370,fluconazole,9,Considerably Effective,yeast infection,No Side Effects
371,metformin,8,Highly Effective,infertility,Mild Side Effects
372,zithromax,10,Highly Effective,pneumonia,Mild Side Effects
373,grifulvin-v,10,Highly Effective,fungus,No Side Effects
374,lumigan,8,Highly Effective,longer eyelashes,Mild Side Effects
375,imitrex,10,Highly Effective,migraine,No Side Effects
376,vicodin,7,Considerably Effective,i got my toothpulled,Severe Side Effects
377,proscar,1,Moderately Effective,hair loss,Severe Side Effects
378,tri-luma,8,Considerably Effective,"acne, melasma",Mild Side Effects
379,triphasil,10,Highly Effective,contraception,No Side Effects
380,cipro,1,Ineffective,possible uti,Extremely Severe Side Effects
381,celexa,8,Considerably Effective,depression,Mild Side Effects
382,risperdal,3,Marginally Effective,bi-polar mania with anger issues,Severe Side Effects
383,clonazepam,10,Considerably Effective,anxiety insomnia,No Side Effects
384,zoloft,7,Considerably Effective,depresson/anxiety,Mild Side Effects
385,motrin,9,Considerably Effective,severe headache,No Side Effects
386,vyvanse,7,Considerably Effective,focus,Moderate Side Effects
387,ambien,9,Highly Effective,insomnia,Mild Side Effects
388,provigil,9,Highly Effective,fatigue / malaise due to infections,No Side Effects
389,voltaren,10,Highly Effective,tennis elbow,No Side Effects
390,prinivil,9,Highly Effective,"seizure, hbp, cholesterol",Mild Side Effects
391,metrogel,6,Moderately Effective,rosecea,No Side Effects
392,maxalt,9,Highly Effective,migraines,Moderate Side Effects
393,naproxen,10,Highly Effective,arthritis,No Side Effects
394,antivert,10,Highly Effective,"dizzyness,, vertigo, nausea,",Mild Side Effects
395,tylenol,10,Highly Effective,headache,No Side Effects
396,xanax,9,Highly Effective,anxiety,Mild Side Effects
397,solodyn,7,Moderately Effective,rosacea,Mild Side Effects
398,flonase,8,Considerably Effective,nasal allergy,No Side Effects
399,wellbutrin,6,Considerably Effective,depression,Moderate Side Effects
400,hyzaar,8,Highly Effective,hypertension,Moderate Side Effects
401,zithromax,8,Highly Effective,sinusitis,Mild Side Effects
402,propecia,8,Considerably Effective,baldness,Mild Side Effects
403,prozac,8,Considerably Effective,depression,Mild Side Effects
404,allegra,8,Considerably Effective,hives,Moderate Side Effects
405,fexofenadine,2,Ineffective,allergic rhinitis,Mild Side Effects
406,lunesta,10,Highly Effective,ptsd/insomnia,No Side Effects
407,ritalin-la,8,Considerably Effective,adhd,Mild Side Effects
408,tambocor,8,Highly Effective,tachycardia,No Side Effects
409,clomid,7,Considerably Effective,fertility,No Side Effects
410,lipitor,10,Highly Effective,high cholesteral,No Side Effects
411,prednisone,5,Considerably Effective,severe hives angiodema,Severe Side Effects
412,ventolin-hfa,1,Ineffective,asthma,Mild Side Effects
413,biaxin,5,Considerably Effective,sinus infection,Severe Side Effects
414,flonase,7,Moderately Effective,congestion,Mild Side Effects
415,ambien,7,Highly Effective,insomnia,Severe Side Effects
416,propecia,9,Considerably Effective,hairloss,No Side Effects
417,armour-thyroid,10,Highly Effective,mild hypothyroidism,No Side Effects
418,remeron,3,Ineffective,depression,Extremely Severe Side Effects
419,valtrex,10,Highly Effective,recurring cold sores,No Side Effects
420,valium,9,Highly Effective,muscle pain/spasms - legs,No Side Effects
421,cymbalta,7,Moderately Effective,dystimia,Moderate Side Effects
422,prevacid,9,Considerably Effective,acid reflux,No Side Effects
423,sumatriptan,9,Highly Effective,migraines,Mild Side Effects
424,percocet,6,Moderately Effective,buldging/ruptured disc,Mild Side Effects
425,pentasa,7,Considerably Effective,pentasa,Mild Side Effects
426,cytomel,10,Highly Effective,hypothyroidism,No Side Effects
427,cipro,7,Considerably Effective,epidimytis,Moderate Side Effects
428,clarithromycin,1,Marginally Effective,strep throat,Severe Side Effects
429,citalopram,10,Highly Effective,anxiety disorder,No Side Effects
430,prozac,6,Considerably Effective,depression,Moderate Side Effects
431,prozac,1,Ineffective,pms,Extremely Severe Side Effects
432,valtrex,7,Moderately Effective,herpes,No Side Effects
433,klonopin,4,Considerably Effective,anxiety,Severe Side Effects
