rating,urlDrugName,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview,combinedReview
10,lipitor,Highly Effective,Mild Side Effects,high cholesterol,I no longer suffered from heartburn and acid reflux.  One pill per day allows me to enjoy eating again and have no adverse effects from any type of food.  At least none that I am aware of.,"I have had no ill effects from the Lipitor or the Nexium.  However, my liver function numbers have increased slightly since being on Lipitor but that was expected to some degree.  I have been advise to lose about 20 pounds and we'll test again to see if they drop.","I have blood drawn for cholesterol and liver function tests every 6 months, some times more frequent if my doctor doesn't like the numbers.  Otherwise my cholesterol has been lowered considerably and I have no other side effects that I'm aware of.", i heartburn reflux pill day enjoy type food none have lipitor nexium liver function lipitor degree lose test see have blood drawn cholesterol function doctor like cholesterol side
10,atenolol,Highly Effective,No Side Effects,extra heartbeat,The benefits are amazing.  I felt dizzy and like I was going to faint before I took the drug.  These symptoms went away and have stayed away for going on 20 years.  I also have seen that it helps with blood pressure and pulse rate.,I have never experienced any adverse side affects.,I simply take one tiny tablet each morning., felt dizzy like faint drug blood pressure rate have side take tablet morning
10,seroquel-xr,Highly Effective,No Side Effects,bipolar disorder,My treatment was good after I was hospitalized for deppression thay started me on Seroquel and I was getting better I started on it in oct 09,there was no side effects I took it at night,My mood changed a lot I went to in hospital therpay for 3mos they tried differnt drugs but seroquel changed alot it cost a lot $411 for 30 pills but it worth it, treatment deppression thay seroquel oct side night mood lot therpay mos seroquel alot
10,allegra,Highly Effective,No Side Effects,allergies,"The treatment benefits included but were not limited to anti histamine blocker, decongestant, etc. I was sneezing, coughing, had laringitis, allergy shiners, and could not sleep.","There were side effects listed such as dizziness, nausea, hypertension etc. I did not expertise any of the ill side effects/",I went to the doctor for the prescription. I went to the pharmacy to have the presciption filled. I took the prescribed dosage daily with a big glass of water. I took my dosage in the evening., treatment anti histamine blocker decongestant etc coughing sleep dizziness nausea hypertension etc expertise side effects/ doctor prescription pharmacy have presciption dosage glass water dosage evening
10,voltaren,Highly Effective,No Side Effects,tennis elbow,elimination of pain in elbow .reduction in general muscle discomfort to rest of body after gym workout.,none at all during the day or evening,one 50mg tablet 3 times per day for 1 week. what i did find was that the pain in the elbow did return eventually and i would have to start re treating my self again, elimination pain .reduction muscle discomfort rest body workout none day mg tablet day week find pain elbow return have start re self
10,grifulvin-v,Highly Effective,No Side Effects,fungus,The benefits of the treatment were clearing a fungal infection that plaqued me for a few months.,"I did not experince any treatment side effects. However, I did get pregnant while taking the medicine, but I did not have any complications.","I had to take 3 pills everyday for six weeks to clear up the fungal infection. The treatment was not hard, but it was effective.", treatment infection experince treatment side get medicine have take clear infection treatment
10,trazodone,Considerably Effective,Mild Side Effects,depression/difficulty sleeping,"I took it before bed, and it helped me get to sleep. It also helped me cope during a difficult time emotionally.","The drug is an anti-depressant. The side effect was sleepiness, which is also therapeutic when taken at night.",Ongoing treatment for several years with 50 mg at bedtime., i bed get sleep cope time drug side effect sleepiness night treatment mg bedtime
10,prilosec,Highly Effective,No Side Effects,gastritis,Eliminated pressure in my upper abdomen and reduced reflux. I have a hiatal hernia so it also helped with acid reflux.,"None, but I am concerned about calcium absorption since I have Osteopenia.  I was supplementing with B12.",Dose was once a day.  I've been off it for two months and have some mild symptoms of gastritis., pressure reflux hernia reflux none calcium absorption b12 dose day i gastritis
10,sumatriptan,Highly Effective,Moderate Side Effects,severe migraine,"I love imitrex, I could not get by as I have severe Migraines to where I can not function. Some time I will take up with one, but try to catch one if I feel it coming on.  It usally takes me about 45 minutes to and hour with tablets and 5 to 10 minutes with the injections. It is a wonderful drug. I use the generic tablets, cause they are a little cheaper with my insurance","SOme times I will have aching in my hands and my body like arthritis pain.  Feels like arthritis, that is the best way I can describe it, but I would rather have that pain than a migraine.","Treatment, self explainatory, I feel better with the imitrex and do not know how I could get by without it.", i imitrex get function time take try catch feel hour drug insurance have body arthritis pain arthritis way describe have pain migraine treatment feel imitrex know get
10,macrobid,Highly Effective,Mild Side Effects,bladder infection,"On taking the first capul,within 8 hours the pain was dramatically reduced in entire left side (back, hip,and lower abdomin)First time in two years I could sit down without holding on to something!!!!!I have been told for two years I PROBABLY have arthritis ""WELCOME TO MIDDLE AGE"" were my Doctors exact words !!!It took a stranger at a walk in clinic who had never seen me to get to the bottom of this nightmare.I had gone from working 5 days a week to 1 day a week,thats all I could handle.I will alwaysThank this Doctor for actually caring.",Very little upset stomach,2 capsules a day for 5 days, capul pain side hip abdomin time sit something i middle age stranger walk clinic get bottom nightmare.i week day week handle.i alwaysthank doctor stomach day
10,protonix,Highly Effective,No Side Effects,chronic heartburn,"The heartburn was unrelenting and multiple over the counter acid reducers were tried including taking the generic Over-The-Counter Prilosec twice per day. None of these medications seemed to caused any reduction in heartburn. After starting the Prontonix symptoms disappeared entirely within the first 24 hours. After starting the Protonix I was again able to eat and enjoy any type of food without heartburn, epigastric pain and nausea.",There were no side effects.,Protonix is taken once per day either with or without food. I take my prescription as bedtime., heartburn counter acid prilosec day none caused reduction heartburn prontonix protonix eat enjoy type food heartburn pain nausea side protonix day food take prescription bedtime
10,aciphex,Highly Effective,No Side Effects,stomach nervousness,This medicine was very effective.  It calms my stomach and I do not feel constant contraction and nervousness in my stomach.,No side effects for me.,"Doctor performed a colonscopy to role out cancer then he prescribed this medicne.  I have been taking it for the last three years, one a day.  Once I ran out and did not take it for a few days and all of my previous symptems came back.", medicine calms stomach feel contraction nervousness stomach side doctor colonscopy role cancer medicne day take
10,adderall,Highly Effective,Mild Side Effects,depression/add,"I failed out of school three times before I started to take Adderall.  University once and a local college twice, in two different programs.  Went back and my grades went from D's and F's to B's.  I was able to concentrate and retain information.  I don't have the fatigue, I had and I want to get the day going, instead of laying in bed for as long as I could.  Literally changed my life.","Insomnia, dry mouth, appetite loss.",30mg slow release in the morning., i school take adderall university college d f b concentrate retain information have fatigue get day bed life insomnia mouth loss mg release morning
10,propranolol,Considerably Effective,Mild Side Effects,tremor,"reduction in visible tremor, caused by stress and kinetic movement. 100% reduction in headaches during period.","initial few days, tiredness was evident","four 10mg tablets taken daily throughout period. The medication is a beta blocker and has various medical uses. Including the treatment of high blood pressure, tremor and reduction of migraine. You are advised not to take alcohol whilst taking this medicine.", reduction tremor stress movement % reduction period tiredness mg period medication blocker treatment blood pressure tremor reduction migraine take alcohol whilst medicine
10,avage,Highly Effective,Mild Side Effects,hormonal acne/sun damage,Skin is clear smooth and brite. Best it has looked in years,"initial breakouts worsen, peeling, dryness, redness, burning for the first few weeks and then got better.","The first few weeks were horrible with bad break outs, dryness, burning, redness, Peeling, It was a nightmare. Almost gave up on it but my dr would not let me. I then started using a moisteriser right after washing my face and then waited 1/2 hour to 1 hour before the Taz. Symptoms eased up and now my skin is beautiful. This stuff Rocks. Don't give up and keep it off of your lips!", skin brite dryness redness break redness nightmare dr let moisteriser face hour hour taz skin stuff give keep
10,synthroid,Highly Effective,No Side Effects,underactive thyroid,Stabilized and regulated the levels of thyroxin in my body.,None.,"One pill per day, standard. I'd like to point out that the Brand Name drug works fine, but the generic versions are not as good. I have had the same problem with some other drugs (primarily antibiotics)where the generic was not effective but the brand name product worked fine.", thyroxin body none pill day standard like point brand name drug have problem generic brand name product
10,naproxen,Highly Effective,No Side Effects,arthritis,"I fractured of my ankle 30 years ago and about 3 years ago I developed arthritis in the same joint (but nowhere else) which was very painful and caused swelling, redness and reduced movement.  I tried all sorts of treatment (aspirin, ibuprofen and a number of recommended natural remedies, the best of which can be said they made things no worse).  I was prescribed naproxen and this has worked really well, so much so that I have thought on a couple of occasions that I have been 'cured', but within a few days of stopping the tablets twinges reappear.",None noticed,One 500mg tablet twice a day, i arthritis joint redness movement treatment ibuprofen number be couple none mg tablet day
10,wellbutrin-sr,Considerably Effective,Mild Side Effects,add,"Wellbutrin offers a stable, constant release of medication that by inhibiting the reuptake of dopamine, serotonin, and norepinephrine results in more dopamine, serotonin, and norepinephrine to transmit messages to other nerves. Two brain chemicals in particular�dopamine and norepinephrine�are believed to play an important role in the ability to focus and pay attention to tasks.","Sometimes, I find I'm a little more tired when I miss a day.","I was diagnosed with Attention Deficient Disorder 13 years ago, a year after it was discovered that my daughter, then six, had the disorder. Prior to beginning a medication regiment to treat my disorder, I had tendencies toward impulsiveness, and difficulty staying on task, which affected many areas of my life. I have been able to achieve career and personal success that I know would not have been possible prior to taking the medication.", wellbutrin release medication reuptake dopamine serotonin serotonin norepinephrine transmit brain particular�dopamine norepinephrine�are play role ability focus pay attention find day attention deficient disorder year daughter disorder medication regiment treat disorder impulsiveness difficulty task life achieve career success have medication
10,buprenorphine,Highly Effective,No Side Effects,major depression,"Subutex is mostly used to help opiate addicts withdrawal more comfortably from opiod drugs such as Vicodin, Oxycodone, and even Heroin. However, I was started on Subutex because my doctor and I were having no luck finding another med that would augment my current depression medications of Effexor XR and Adderall (which were only partially working). My doctor had found research suggesting that Subutex, because it is a partial opiate agonist itself (although much different in its properties compared to what most think of when thinking ""opiate""), binds to one of the opiate receptors in the brain responsible for mood. My doctor has always been on the cutting edge of current research and was extremely open-minded in trying this med with me - and to welcomed relief as well! I have had almost ALL good results from this medication. It has definitely aided in the treatment of my very-treatment-resistent depression. The following are the benefits that I have noticed from taking Subutex:
     1. Quick-acting - because Subutex is sublingual (dissolves under your tongue) it gets into your system immediately and does not have to be processed by your digestive system first.
     2. Gentle effects - I have definitly not experienced any ""highs"". Just a subtle, but noticeable improvement in a feeling of wellbeing.
     3. Also helps somewhat with anxiety by having a calming effect; in normal doses this happens without any tiredness.
     4. Have not noticed ANY of the side effects that I have found with other psychiatric medications such as weight gain/loss, personality changes, sexual effects, etc. Also, in case anyone is worried that Subutex is a ""partial-opiate agonist"", I must emphasize that this med DOES NOT build a tolerance or make you want/need to increase dosage. I have been on this dose for four years without ever even thinking about needing more. HOWEVER!!! You must understand that - as is the case with ALL psychiatric medications - you cannot simply stop taking this medication without tapering your dose first or you will experience withdrawal effects. The one saving grace about Subutex, though, is that it has a very long half-life and will remain in your system long enough to prevent any type of withdrawal even if you miss a day or two of medication.",None.,I take two 8mg tablets in the afternoon by putting them under my tongue and allowing them simply to dissolve. I do this again at night as I get into bed. That's pretty much it!, subutex help opiate vicodin oxycodone subutex doctor luck med augment depression adderall doctor research subutex opiate agonist think brain mood doctor edge research welcomed relief have medication treatment depression following subutex subutex tongue system have be digestive system improvement feeling wellbeing anxiety effect tiredness have side gain/loss personality case anyone subutex agonist emphasize med build tolerance make want/need increase dosage dose understand case stop medication dose experience withdrawal grace subutex though half-life remain system prevent type withdrawal day medication none take afternoon tongue dissolve do night get bed
10,xanax,Highly Effective,No Side Effects,anxiety,Xanax for me is particualy beneficial when either I need fast relief (one of the fastest acting benzodiazepines) or more in a social setting because it gives a more stimulating relaxation (i.e relaxes you but also enables you to be social compared to alternatives.),"The only thing to be aware of with this drug is that it is very short acting so while it may be perfect for situational anxiety (e.g a speech, social event, dentist etc) its not a good idea for people with more generalised anxiety as its short acting nature may mean that people get rebound anxiety and then feel the need to dose again (can lead to dependance.)",When taking as needed for particular events it works perfectly as a treatment, xanax need relief setting relaxation be thing be drug be anxiety speech event dentist etc idea anxiety nature mean anxiety feel need dose lead dependance treatment
10,adipex-p,Highly Effective,Mild Side Effects,chronic fatigue syndrome,"Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer, more like my old self.","Weight loss, decreased appetite. If take too late in the day, may affect ability to sleep.","Take 1 pill in the morning to treat ADD-like symptoms that started after a car accident. Took several years to get Chronic Fatigue/Fibromyalgia diagnosis and quite awhile after that before this medicine was prescribed. Tried most of the standard ADD medications to help with brain fog but bad side effects, worked for awhile then stopped, or no effect. Many doctors not comfortable perscribing this medication for ADD or ADD-like symptoms since it's a weight-loss medicine. I usually only take this medication during the work week and give my body a break on teh weekends.", ability focus concentrate memory retention energy relieve brain fog fatigue/fibromyalgia function work self loss take day affect ability sleep take pill morning treat car accident get fatigue/fibromyalgia diagnosis medicine add help brain side awhile effect medication add add-like medicine take medication work week give body break
10,prozac,Highly Effective,No Side Effects,depression,"Within a few days, my mood, self-esteem, attitude and over-all well-being improved tremendously! I went from feeling suicidal and not being able to funtion properly in order to take care of myself or my family, to feeling better than I had since I was in my teens. I began to lose some of the weight I had gained from being depressed. I was in a wonderful mood and I had so much more energy than I had in years. My overall experience with Prozac has been perfect!",I have had no known side effects to this date. I do watch out for muscle cramps that last more than a week and I have blood work done once a year to ensure that my kidneys are not being affected.,"I started on 10 mgs. once a day and when that was tolerated well I went up to 40 mgs. This caused some insomnia and nervousness so my Dr. lowered it to 20 mgs. a day. There are still times I get depressed for a few days but that only happens once or twice a year and it is mild. I am looking at being on Prozac as long as my body toleates it, due to once being taken off I went into a fast downward spiral and had to begin again.", mood attitude well-being suicidal funtion order take care family lose weight mood energy experience prozac have side date do watch muscle week work year ensure mgs day mgs insomnia nervousness dr. mgs day year prozac body spiral begin
10,nexium,Highly Effective,No Side Effects,hiatal hernia,Control of high blood pressure.  Taken in addition to Cartia XT once daily to control high blood pressure.  The hydrochlorothiazide (HCT) increases the amount of urine removing salt and excess water to help lower high blood pressure.,"Dizziness, lightheadedness, and blurred vision.",For Atacand HCT take one pill by mouth every morning.  For Cartia XT take one capsule by mouth every evening., control blood pressure addition cartia control blood pressure hydrochlorothiazide hct amount salt water help blood pressure dizziness lightheadedness vision atacand pill mouth morning capsule mouth evening
10,amoxil,Moderately Effective,Mild Side Effects,infection from grazing an ankle on coral,"I very mildly scratched my left ankle (right on the protruding bone) while snorkeling in the ocean. 
The abrasion was so small that I didn't do any first aid other than wash the area off when showering.
Over the next 3 days the are became inflamed and I began to apply antibiotic powder to try to dry the inflamed area.
On the 4th morning the tiny scratch had developed to the point were the abrasion was an oozing sore about the size of a quarter and my foot was red and swollen making it impossible to put on a shoe.
I immediately went to a local doctor who prescribed amoxilin tablets.
The drug was very effective and the effects could be felt within 24 hours.",The drug upset my stomach mildly. Otherwise no side effects noticed.,"I was given a 3 day prescription which is the reason I am submitting this report. 
I believe antibiotics should be prescribed in a course of 7 - 10 days. 
This practice as far as I know was very popular in Hong Kong and it still might be general practice.
In my case I did not want to return to the doctors office and be charged again for another consultation + purchase additional amoxilin as I was not covered by medical insurance at that time.
Instead I went to a local pharmacy with the package of antibiotics I received from the doctors office and asked if I could buy 12 tablets. They were more than happy to sell them to me (at a fraction of the cost I paid at the doctors office) and I followed through with a 7 day course.
The results were very positive and within 24 hours I could feel relief and I knew that the infection was being affected by the amoxilin. By the 3rd day the swelling was greatly reduced and other than a nasty wound on my ankle bone I felt very good. I continued the remaining 4 days and besides a scar on my ankle at the site of the infection I completely recovered.", ankle bone ocean abrasion do aid area apply powder try dry area th morning scratch point abrasion oozing sore size quarter foot put shoe doctor drug be drug stomach side day prescription reason report believe be course practice know kong be practice case want return office be consultation purchase amoxilin insurance time pharmacy package office buy sell fraction cost office day course feel relief infection amoxilin rd day swelling wound ankle bone scar ankle site infection
10,zoloft,Highly Effective,Mild Side Effects,anxeity,"I would have wondering thoughts, like way to often, just thinking about the best ways to improve my lot in life, until it started to consume me to much. So I sought help, the main problem was sleeping, my thoughts would race so hard, that I could not sleep, this drug put my thoughts in check, allowing me to sleep soundly.","Side effects are not a big deal.. I mean mainly it caused me to take longer ejaculating more then anything, so that�s really the only side effect I had, so for me it wasn�t that big of a deal, since I can go without out sex for like the longest, didn�t bother me at all. But even so after your body becomes adjusted to Zoloft, that side effects eventually just leaves.","Well I went to see a doctor and talked about my situation, and for the first three visit, she just talked to me, then after the 3rd visit, she decided it would be a good idea to put me on Zoloft. I was hesitant at first, but after two more visits, I decided to give it a shot, and wow it did the trick for me, my depression immediately left, and I am able to function a lot better then I was prior to the meds. so I have really know complaints about zoloft.", i have way improve lot life consume help problem race sleep drug check sleep side take anything side effect deal go sex didn�t body zoloft side see doctor situation visit rd visit be idea put zoloft hesitant give wow trick depression function lot have zoloft
10,prevacid,Highly Effective,No Side Effects,stomach ulcers,"After approximately two weeks of first using Prevacid, I noticed significant improvement in my symptoms.  Within 2 months, the symptoms had completely been resolved.",No side effects at all.,"I began experiencing serious stomach pains and persistant diarrhea.  Friends and family suggested that I had irritable bowel syndrome and I thought I would just have to deal with it.  My symptoms progressed to the point that I was barely eating and had lost a significant amount of weight.  I consulted with a gastroenterologist who performed an endoscopy.  I was diagnosed with multiple stomach ulcers and was prescribed Prevacid 15 mg capsules to take once daily.  Within 2 weeks of taking the medication, I started to notice improvement in my ability to eat certain foods.  Within one month, I could eat practically anything with only an occasional onset of symptoms.  After 2 months, I was no longer having any problems.  My doctor recommended that I continue taking the medication and I did so for approximately one year.  I have had no problems since discontinuing the medication so it definitely resolved the problem.", prevacid improvement side stomach diarrhea family bowel syndrome thought have deal point amount weight gastroenterologist endoscopy stomach mg take medication notice improvement ability eat month eat anything onset doctor continue medication year have medication problem
10,retin-a,Highly Effective,Mild Side Effects,adult acne,Eliminated Acne with in weeks of first using. I continued to use as my skin texture had improved. Any time there was a pimple or acne outbreak I would apply to pimple more than once during the day and the pimple would leave. I also used on any cold sores and it elimated them in 2 days.,Some dryness and peeling around my nose and chin. Redness to my face the first two weeks.,Retin A gel applied nightly to face. Some initial redness and peeling the first 3 months. Elimated any existing acne and prevent any further acne., acne use skin texture time pimple outbreak apply pimple day pimple leave dryness nose chin redness face retin gel face redness acne prevent acne
10,benicar-hct,Highly Effective,No Side Effects,hypertension,lowered blood presssure with no notable side effects.The reduction in blood pressure was immediate with no other bothersome side effects,"none -- i was warned that many blood pressure medications have bothersome side-effects including lowered libido, sleep disturbances etc.  i suffered no change in any physiological symptoms other than the lowering of my blood pressure",Take the medication once per day and take measures to reduce the sources of stress in my life as well as take measures to more efficiently deal with existant daily stress., blood presssure side effects.the reduction blood pressure side none blood pressure change lowering blood pressure take medication day take reduce stress life take deal stress
